country.homeland.ABY,ETHIOPIA
owo.doctrine.diplomacy.t3.mercantile_treaties,Bilateral Capitulations & Trade Treaties
owo.doctrine.diplomacy.t3.mercantile_treaties.desc,Reciprocal trading privileges, lowered tolls, and extraterritorial merchant quarters enrich foreign commerce.
owo.doctrine.diplomacy.t4,Mediation & Coercion
owo.doctrine.diplomacy.t4.question,How do you handle interstate rivalries?
owo.doctrine.diplomacy.t4.papal_and_caliphal_mediation,Spiritual & Arbitrated Mediation
owo.doctrine.diplomacy.t4.papal_and_caliphal_mediation.desc,Calling on venerable spiritual authorities to arbitrate territorial boundaries limits aggressive blowback.
owo.doctrine.diplomacy.t4.coercive_ultimatums,Sovereign Ultimatums
owo.doctrine.diplomacy.t4.coercive_ultimatums.desc,Forceful diplomatic ultimatums backed by military posturing compel weaker courts to yield without war.
owo.doctrine.diplomacy.t5,World Hegemony
owo.doctrine.diplomacy.t5.question,How do you structure the international order?
owo.doctrine.diplomacy.t5.concert_of_realms,Concert of Great Powers
owo.doctrine.diplomacy.t5.concert_of_realms.desc,Multilateral congresses and balance-of-power treaties preserve equilibrium among sovereign nations.
owo.doctrine.diplomacy.t5.hegemonic_vassal_system,Imperial Suzerainty & Vassalage
owo.doctrine.diplomacy.t5.hegemonic_vassal_system.desc,Subject princes owe military tribute and diplomatic subservience to the imperial throne.
owo.doctrine.diplomacy.milestone,Grand Statecraft
owo.doctrine.diplomacy.milestone.desc,Mastery of diplomacy has made your crown the undisputed arbiter of regional affairs.
owo.doctrine.intelligence.t1,Court Informants
owo.doctrine.intelligence.t1.question,How do you uncover plots against the throne?
owo.doctrine.intelligence.t1.palace_informants,Palace Informants & Watchers
owo.doctrine.intelligence.t1.palace_informants.desc,Bribery of courtiers and servants exposes treasonous domestic plots before they bear fruit.
owo.doctrine.intelligence.t1.whispering_networks,Tavern & Port Whispering Networks
owo.doctrine.intelligence.t1.whispering_networks.desc,Harbor watchers, innkeepers, and vagabonds report on troop movements and foreign agitators.
owo.doctrine.intelligence.t2,Ciphers & Subversion
owo.doctrine.intelligence.t2.question,How do you safeguard state secrets and sow discord?
owo.doctrine.intelligence.t2.cryptographic_ciphers,Polyalphabetic Ciphers
owo.doctrine.intelligence.t2.cryptographic_ciphers.desc,Mathematical secret writing shields sensitive diplomatic dispatches from interception.
owo.doctrine.intelligence.t2.covert_provocateurs,Sedition & Provocateurs
owo.doctrine.intelligence.t2.covert_provocateurs.desc,Covert agents infiltrate rival territories to incite unrest among discontented vassals.
owo.doctrine.intelligence.t3,The Spymaster
owo.doctrine.intelligence.t3.question,Who orchestrates the realm's covert reach?
owo.doctrine.intelligence.t3.master_of_spies,The Master of Spies
owo.doctrine.intelligence.t3.master_of_spies.desc,A high crown minister coordinates domestic surveillance, overseas safehouses, and black funds.
owo.doctrine.intelligence.t3.subversive_propaganda,Pamphleteering & Preachers
owo.doctrine.intelligence.t3.subversive_propaganda.desc,Distributing incendiary woodcuts and sponsoring travelling friars undermines enemy legitimacy.
owo.doctrine.intelligence.t4,Inquisition & Counter-Spies
owo.doctrine.intelligence.t4.question,How do you neutralize hostile infiltrators?
owo.doctrine.intelligence.t4.inquisitorial_apparatus,Inquisitorial Tribunal
owo.doctrine.intelligence.t4.inquisitorial_apparatus.desc,Systematic investigative tribunals root out foreign heretics, saboteurs, and double agents.
owo.doctrine.intelligence.t4.intercepted_pigeon_couriers,Carrier Pigeon Interceptions
owo.doctrine.intelligence.t4.intercepted_pigeon_couriers.desc,Postal censorship and intercepting homing couriers cracks foreign communication chains.
owo.doctrine.intelligence.t5,Shadow Hegemony
owo.doctrine.intelligence.t5.question,How do you wield unseen power?
owo.doctrine.intelligence.t5.black_chamber_statecraft,The Sovereign Black Chamber
owo.doctrine.intelligence.t5.black_chamber_statecraft.desc,A clandestine royal intelligence bureau capable of forging treaties, bribing regents, and altering successions.
owo.doctrine.intelligence.t5.covert_dynastic_intrigue,Dynastic Sabotage & Poison
owo.doctrine.intelligence.t5.covert_dynastic_intrigue.desc,Targeted covert operations eliminate key enemy commanders and heirs at decisive historical moments.
owo.doctrine.intelligence.milestone,Master of the Shadows
owo.doctrine.intelligence.milestone.desc,No secret in the known world is kept from your all-seeing intelligence apparatus.
owo.doctrine.industry.t1,Milling & Forestry
owo.doctrine.industry.t1.question,How do you harness mechanical power and timber?
owo.doctrine.industry.t1.water_powered_mills,Water-Powered Mills
owo.doctrine.industry.t1.water_powered_mills.desc,Waterwheels driving grain mills, fulling mills, and sawmills multiply provincial production output.
owo.doctrine.industry.t1.timber_and_charcoal_works,Managed Forestry & Charcoal Kilns
owo.doctrine.industry.t1.timber_and_charcoal_works.desc,Systematic coppicing and earthen charcoal kilns supply the indispensable fuel for medieval metalworking.
owo.doctrine.industry.t2,Foundries & Stone
owo.doctrine.industry.t2.question,How do you extract and refine building materials?
owo.doctrine.industry.t2.guild_metalwork_foundries,Foundry Castings & Smiths
owo.doctrine.industry.t2.guild_metalwork_foundries.desc,Cooperative foundry furnaces produce durable wrought iron tools, anchors, and armor plates.
owo.doctrine.industry.t2.quarry_and_masonry_concessions,Royal Quarries & Master Masons
owo.doctrine.industry.t2.quarry_and_masonry_concessions.desc,Organized quarrying and stonecutters' lodges accelerate cathedral and fortress construction.
owo.doctrine.industry.t3,Arsenals & Deep Mining
owo.doctrine.industry.t3.question,How do you equip armies and dig deeper?
owo.doctrine.industry.t3.arsenal_shipbuilding,State Naval Arsenals
owo.doctrine.industry.t3.arsenal_shipbuilding.desc,Centralized drydocks and ropewalks build and equip galleys and cogs with modular efficiency.
owo.doctrine.industry.t3.deep_shaft_mining,Deep-Shaft Mining & Drainage
owo.doctrine.industry.t3.deep_shaft_mining.desc,Horse-whim drainage pumps and timber shoring unlock rich silver, copper, and tin veins underground.
owo.doctrine.industry.t4,Blast Furnaces & Armaments
owo.doctrine.industry.t4.question,How do you modernize heavy metallurgy?
owo.doctrine.industry.t4.early_blast_furnaces,Early Blast Furnaces
owo.doctrine.industry.t4.early_blast_furnaces.desc,Tall masonry blast furnaces with water bellows produce continuous cast pig iron at high heat.
owo.doctrine.industry.t4.royal_arms_manufactories,Royal Armouries & Gunfoundries
owo.doctrine.industry.t4.royal_arms_manufactories.desc,Consolidated crown workshops forge arquebuses, crossbars, and iron shot at massive scale.
owo.doctrine.industry.t5,Proto-Industry
owo.doctrine.industry.t5.question,What will your realm's productive future become?
owo.doctrine.industry.t5.proto_industrial_workshops,Proto-Industrial Workshops
owo.doctrine.industry.t5.proto_industrial_workshops.desc,Putting-out systems and regional artisanal clusters pioneer high-volume manufacturing.
owo.doctrine.industry.t5.standardized_ordnance,Standardized Calibers & Ordnance
owo.doctrine.industry.t5.standardized_ordnance.desc,Strict metallurgical calibers ensure ammunition interchangeability and devastating battlefield efficiency.
owo.doctrine.industry.milestone,Proto-Industrial Revolution
owo.doctrine.industry.milestone.desc,Your furnaces, mines, and arsenals make your realm the mechanical titan of the late medieval age.
mod.ui.popup.title,Welcome to Old World Order
mod.ui.popup.body,You lead one of ~120 nations in 1450 AD. Command historically accurate armies, forge alliances, and rewrite the fate of the medieval world. This mod features the Ottoman Empire, Ming Dynasty, Portugal, France, England, Muscovy, the Timurids, and more.
mod.ui.popup.continue,Continue
mod.ui.popup.mod_info,Open Mod Info
doctrine.industry.t1.mass_production_system,Movable Type Printing Press
doctrine.industry.t1.mass_production_system.desc,Hand mold casting lead alloy type and screw presses that democratize book production and administrative recordkeeping.
doctrine.industry.t2.continuous_production,Watermill & Windmill Engineering
doctrine.industry.t2.continuous_production.desc,Sophisticated geared drive shafts and tidal mills multiplying mechanical work output across rural provinces.
doctrine.diplomacy.t1.mobile_envoy_service,Diplomatic Ciphers & Courier Relay
doctrine.diplomacy.t1.mobile_envoy_service.desc,Encrypted diplomatic dispatches and fast royal horse relay networks ensuring secure communication across provinces.
doctrine.intelligence.t1.centralized_intelligence_directorate,Royal Spymaster & Informant Rings
doctrine.intelligence.t1.centralized_intelligence_directorate.desc,Recruitment of court informants, merchant spies, and harbor watchers providing advance intelligence of foreign schemes.
doctrine.intelligence.t4.defensive_counter_intelligence,Inquisition & Crown Surveillance
doctrine.intelligence.t4.defensive_counter_intelligence.desc,Royal judicial courts, town watches, and ecclesiastical scrutiny rooted in detecting foreign sedition.
