country.homeland.ABY,HABEŞİSTAN
owo.doctrine.society.t1.question,Kırsalda toprak ve emek nasıl organize ediliyor?
owo.doctrine.society.t1.communal_commons,Ortak Otlaklar ve Açık Tarlalar
owo.doctrine.society.t1.communal_commons.desc,Köyün açık tarla ekim nöbeti ve ortak otlaklar, toplumsal ahengi ve köylünün geçimini temin eder.
owo.doctrine.society.t1.manorial_estates,Malikane Arazileri ve Haslar
owo.doctrine.society.t1.manorial_estates.desc,Soyluların elinde toplanan malikaneler, kralın savaş hazinesi için tahıl fazlasını ve angarya yükümlülüklerini artırır.
owo.doctrine.society.t2,Loncalar ve Köylü Statüsü
owo.doctrine.society.t2.question,Şehirli zanaatkârlar ve kır emekçileri hangi haklara sahip?
owo.doctrine.society.t2.guild_charters,Beratlı Zanaat Loncaları
owo.doctrine.society.t2.guild_charters.desc,Ayrıcalıklı lonca beratları üretim standartlarını, çıraklığı ve kentsel istikrarı düzenler.
owo.doctrine.society.t2.free_peasantry,Serflerin Azad Edilmesi
owo.doctrine.society.t2.free_peasantry.desc,Feodal bağlılıkların nakdi kiralara dönüştürülmesi köylü girişimciliğini ve nüfus artışını teşvik eder.
owo.doctrine.society.t3,Sivil Kurumlar ve İlim
owo.doctrine.society.t3.question,Hastalarla kim ilgileniyor ve alimleri kim yetiştiriyor?
owo.doctrine.society.t3.monastic_hospitals,Manastır Şifahaneleri ve Sadaka
owo.doctrine.society.t3.monastic_hospitals.desc,Dini kurumlar hastane ağlarını ve hayır işlerini yürüterek halkı salgınlardan ve kıtlıktan korur.
owo.doctrine.society.t3.cathedral_schools,Katedral Mektepleri ve Üniversiteler
owo.doctrine.society.t3.cathedral_schools.desc,Skolastik fakülteler; diyara hizmet edecek hukukçular, ilahiyatçılar ve tabipler yetiştirir.
owo.doctrine.society.t4,Kentsel Düzen ve Hamilik
owo.doctrine.society.t4.question,Şehirler krizlere nasıl dayanıyor ve refahı nasıl sergiliyor?
owo.doctrine.society.t4.civic_relief_funds,Şehir İane Tahıl Ambarları
owo.doctrine.society.t4.civic_relief_funds.desc,Belediye tahıl stokları ve acil durum yardımları, kıtlık zamanlarında halk huzursuzluğunu yatıştırır.
owo.doctrine.society.t4.burgher_patronage,Kentli Tüccar Hamiliği
owo.doctrine.society.t4.burgher_patronage.desc,Varlıklı tüccarlar, kentin itibarını artırmak için anıtlar, lonca sarayları ve hastaneler vakfeder.
owo.doctrine.society.t5,Rönesans Uyanışı
owo.doctrine.society.t5.question,Halkınızın ruhunu hangi kültür tanımlıyor?
owo.doctrine.society.t5.humanist_renaissance,Hümanist Rönesans
owo.doctrine.society.t5.humanist_renaissance.desc,Klasik uyanış, edebi eserler ve doğa felsefesi eşi görülmemiş bir yenilik çağını başlatır.
owo.doctrine.society.t5.estate_harmony,Zümreler Ahengi
owo.doctrine.society.t5.estate_harmony.desc,Soylular, din adamları ve halk arasındaki denge, köklü bir toplumsal huzur ve kalıcı meşruiyet tesis eder.
owo.doctrine.society.milestone,Rönesans Toplumu
owo.doctrine.society.milestone.desc,Toplumunuz karanlık içine kapanıklıktan çiçek açan, kültürlü bir diyara dönüştü.
owo.doctrine.diplomacy.t1,Haberciler ve Hanedan Bağları
owo.doctrine.diplomacy.t1.question,Yabancı saraylarla nasıl temas kuruyorsunuz?
owo.doctrine.diplomacy.t1.royal_heralds,Kraliyet Habercileri ve Ulaklar
owo.doctrine.diplomacy.t1.royal_heralds.desc,Dokunulmazlığı olan kraliyet habercileri sınırların ötesine resmi bildiriler, emanlar ve antlaşma şartları taşır.
owo.doctrine.diplomacy.t1.dynastic_marriages,Hanedanlar Arası Evlilikler
owo.doctrine.diplomacy.t1.dynastic_marriages.desc,Stratejik evlilik ittifakları hanedanları birbirine bağlar, kırılgan barışları soylu kanıyla pekiştirir.
owo.doctrine.diplomacy.t2,Elçilikler ve İaneler
owo.doctrine.diplomacy.t2.question,Yurtdışıyla sürekli ilişkileri nasıl sürdürüyorsunuz?
owo.doctrine.diplomacy.t2.resident_ambassadors,Daimi Mukim Elçilikler
owo.doctrine.diplomacy.t2.resident_ambassadors.desc,Önemli başkentlerde daimi diplomatik misyonlar bulundurmak, aralıksız müzakere ve istihbarat sağlar.
owo.doctrine.diplomacy.t2.tribute_and_subsidies,Diplomatik Tahsisatlar ve Haraç
owo.doctrine.diplomacy.t2.tribute_and_subsidies.desc,Yıllık altın tahsisatları tampon beylikleri sadık tutar ve büyük çatışmalarda tarafsızlık satın alır.
owo.doctrine.diplomacy.t3,İttifaklar ve Ticaret
owo.doctrine.diplomacy.t3.question,Sınırlarınızı ve deniz yollarınızı nasıl koruyorsunuz?
owo.doctrine.diplomacy.t3.defensive_leagues,Karşılıklı Savunma Paktları
owo.doctrine.diplomacy.t3.defensive_leagues.desc,Resmi kolektif savunma antlaşmaları, saldırgan komşuların müttefik topraklarına saldırmasını caydırır.
owo.doctrine.diplomacy.t3.mercantile_treaties,İkili Kapitülasyonlar ve Ticaret Ahitnameleri
owo.doctrine.diplomacy.t3.mercantile_treaties.desc,Karşılıklı ticaret imtiyazları, indirimli gümrükler ve tüccar mahalleleri dış ticareti zenginleştirir.
owo.doctrine.diplomacy.t4,Arabuluculuk ve Baskı
owo.doctrine.diplomacy.t4.question,Devletler arası rekabetleri nasıl yönetiyorsunuz?
owo.doctrine.diplomacy.t4.papal_and_caliphal_mediation,Ruhani ve Hakemli Arabuluculuk
owo.doctrine.diplomacy.t4.papal_and_caliphal_mediation.desc,Sınırları belirlemek için yüce ruhani makamları hakemliğe çağırmak tepkileri ve düşmanlıkları sınırlar.
owo.doctrine.diplomacy.t4.coercive_ultimatums,Egemenlik Ültimatomları
owo.doctrine.diplomacy.t4.coercive_ultimatums.desc,Askeri güç gösterisiyle desteklenen sert diplomatik ültimatomlar, zayıf sarayları savaşa girmeden boyun eğdirir.
owo.doctrine.diplomacy.t5,Dünya Hâkimiyeti
owo.doctrine.diplomacy.t5.question,Uluslararası düzeni nasıl yapılandırıyorsunuz?
owo.doctrine.diplomacy.t5.concert_of_realms,Büyük Güçler Uyumu
owo.doctrine.diplomacy.t5.concert_of_realms.desc,Çok taraflı kongreler ve güç dengesi antlaşmaları, egemen uluslar arasında dengeyi muhafaza eder.
owo.doctrine.diplomacy.t5.hegemonic_vassal_system,İmparatorluk Hâkimiyeti ve Tabilik
owo.doctrine.diplomacy.t5.hegemonic_vassal_system.desc,Tabi prenslikler imparatorluk tahtına askeri vergi ve diplomatik sadakat sunmakla yükümlüdür.
owo.doctrine.diplomacy.milestone,Büyük Devlet İdaresi
owo.doctrine.diplomacy.milestone.desc,Diplomasideki ustalığınız tacınızı bölgesel meselelerin tartışmasız hakemi haline getirdi.
owo.doctrine.intelligence.t1,Saray Muhbirleri
owo.doctrine.intelligence.t1.question,Tahta karşı kurulan komploları nasıl ortaya çıkarıyorsunuz?
owo.doctrine.intelligence.t1.palace_informants,Saray Muhbirleri ve Gözcüler
owo.doctrine.intelligence.t1.palace_informants.desc,Nedim ve hizmetkârları rüşvetle elde etmek, dahili hain komploları henüz filizlenmeden ifşa eder.
owo.doctrine.intelligence.t1.whispering_networks,Meyhane ve Liman Fısıltı Ağları
owo.doctrine.intelligence.t1.whispering_networks.desc,Liman nöbetçileri, hancılar ve serseriler askeri hareketlilikleri ve yabancı kışkırtıcıları bildirir.
owo.doctrine.intelligence.t2,Şifreler ve Fesat
owo.doctrine.intelligence.t2.question,Devlet sırlarını nasıl koruyor ve fitne tohumlarını nasıl ekiyorsunuz?
owo.doctrine.intelligence.t2.cryptographic_ciphers,Polialfabetik Şifreler
owo.doctrine.intelligence.t2.cryptographic_ciphers.desc,Riyazi gizli yazı yöntemleri, hassas diplomatik mektupları ele geçirilmekten korur.
owo.doctrine.intelligence.t2.covert_provocateurs,Fitne ve Provokatörler
owo.doctrine.intelligence.t2.covert_provocateurs.desc,Gizli ajanlar hasım topraklara sızarak hoşnutsuz vasallar arasında isyan ve huzursuzluk kışkırtır.
owo.doctrine.intelligence.t3,İstihbarat Reisi
owo.doctrine.intelligence.t3.question,Diyarın gizli operasyonlarını kim yönetiyor?
owo.doctrine.intelligence.t3.master_of_spies,Casusbaşı
owo.doctrine.intelligence.t3.master_of_spies.desc,Üst düzey bir divan veziri; iç gözetimi, denizaşırı güvenli evleri ve örtülü ödenekleri koordine eder.
owo.doctrine.intelligence.t3.subversive_propaganda,Risaleler ve Vaizler
owo.doctrine.intelligence.t3.subversive_propaganda.desc,Kışkırtıcı gravürler dağıtmak ve gezgin dervişleri desteklemek düşmanın meşruiyetini aşındırır.
owo.doctrine.intelligence.t4,Engizisyon ve Karşı Casusluk
owo.doctrine.intelligence.t4.question,Düşman sızmalarını nasıl etkisiz hale getiriyorsunuz?
owo.doctrine.intelligence.t4.inquisitorial_apparatus,Tahkikat Mahkemesi
owo.doctrine.intelligence.t4.inquisitorial_apparatus.desc,Sistemli soruşturma heyetleri yabancı sapkınları, sabotajcıları ve çift taraflı casusları ortaya çıkarır.
owo.doctrine.intelligence.t4.intercepted_pigeon_couriers,Posta Güvercinlerinin Önünü Kesme
owo.doctrine.intelligence.t4.intercepted_pigeon_couriers.desc,Posta denetimi ve taşıyıcı güvercinlerin yakalanması yabancı haberleşme zincirlerini kırar.
owo.doctrine.intelligence.t5,Gölge Hâkimiyeti
owo.doctrine.intelligence.t5.question,Görünmez gücü nasıl kullanıyorsunuz?
owo.doctrine.intelligence.t5.black_chamber_statecraft,Hükümdarlık Gizli Kalemi
owo.doctrine.intelligence.t5.black_chamber_statecraft.desc,Antlaşmaları tahrif edebilen, naipleri rüşvetle bağlayan ve veraseti yönlendiren gizli istihbarat bürosu.
owo.doctrine.intelligence.t5.covert_dynastic_intrigue,Hanedan Suikastleri ve Zehir
owo.doctrine.intelligence.t5.covert_dynastic_intrigue.desc,Kritik tarihi dönemeçlerde kilit düşman komutanlarını ve veliahtlarını hedef alan örtülü operasyonlar.
owo.doctrine.intelligence.milestone,Gölgelerin Efendisi
owo.doctrine.intelligence.milestone.desc,Bilinen dünyada hiçbir sır sizin her şeyi gören istihbarat ağınızdan kaçamaz.
owo.doctrine.industry.t1,Değirmencilik ve Ormancılık
owo.doctrine.industry.t1.question,Mekanik güç ve keresteden nasıl faydalanıyorsunuz?
owo.doctrine.industry.t1.water_powered_mills,Su Değirmenleri
owo.doctrine.industry.t1.water_powered_mills.desc,Tahıl, dokuma ve hızar değirmenlerini döndüren su çarkları, eyaletlerdeki üretim çıktısını katlar.
owo.doctrine.industry.t1.timber_and_charcoal_works,Orman İdaresi ve Odun Kömürü Ocakları
owo.doctrine.industry.t1.timber_and_charcoal_works.desc,Düzenli koruluk bakımı ve kömürlük ocakları, ortaçağ metalurjisi için elzem yakıtı sağlar.
owo.doctrine.industry.t2,Dökümhaneler ve Taş Ocakları
owo.doctrine.industry.t2.question,İnşaat malzemelerini nasıl çıkarıp işliyorsunuz?
owo.doctrine.industry.t2.guild_metalwork_foundries,Dökümhaneler ve Demirciler
owo.doctrine.industry.t2.guild_metalwork_foundries.desc,Ortak döküm ocakları dayanıklı ferforje aletler, demir çapalar ve zırh levhaları üretir.
owo.doctrine.industry.t2.quarry_and_masonry_concessions,Kraliyet Taş Ocakları ve Taş Ustaları
owo.doctrine.industry.t2.quarry_and_masonry_concessions.desc,Organize taş ocakçılığı ve yapı loncaları, katedral ve kale inşasını hızlandırır.
owo.doctrine.industry.t3,Tersaneler ve Derin Madencilik
owo.doctrine.industry.t3.question,Orduları nasıl donatıyor ve madenleri nasıl kazıyorsunuz?
owo.doctrine.industry.t3.arsenal_shipbuilding,Devlet Donanma Tersaneleri
owo.doctrine.industry.t3.arsenal_shipbuilding.desc,Merkezi kuru havuzlar ve halathaneler, kadırga ve kalyonları modüler bir verimlilikle inşa eder.
owo.doctrine.industry.t3.deep_shaft_mining,Derin Maden Kuyuları ve Drenaj
owo.doctrine.industry.t3.deep_shaft_mining.desc,Atlı tulumba mekanizmaları ve ahşap tahkimatlar, yeraltındaki zengin gümüş, bakır ve kalay damarlarını açar.
owo.doctrine.industry.t4,Yüksek Fırınlar ve Silah Sanayii
owo.doctrine.industry.t4.question,Ağır metalurjiyi nasıl modernize ediyorsunuz?
owo.doctrine.industry.t4.early_blast_furnaces,Erken Dönem Yüksek Fırınları
owo.doctrine.industry.t4.early_blast_furnaces.desc,Su körüklü yüksek taş fırınlar, yüksek ısıda kesintisiz dökme pik demir üretir.
owo.doctrine.industry.t4.royal_arms_manufactories,Kraliyet Tophaneleri ve Cephanelikleri
owo.doctrine.industry.t4.royal_arms_manufactories.desc,Birleştirilmiş taht atölyeleri; arkebüzleri, arbaletleri ve demir gülleleri devasa ölçekte döver.
owo.doctrine.industry.t5,Ön-Sanayi
owo.doctrine.industry.t5.question,Diyarınızın üretim geleceği nasıl şekillenecek?
owo.doctrine.industry.t5.proto_industrial_workshops,Ön-Sanayi İmalathaneleri
owo.doctrine.industry.t5.proto_industrial_workshops.desc,Fason üretim sistemleri ve bölgesel zanaatkâr kümelenmeleri yüksek hacimli üretime öncülük eder.
owo.doctrine.industry.t5.standardized_ordnance,Standart Top Kalibreleri ve Mühimmat
owo.doctrine.industry.t5.standardized_ordnance.desc,Sıkı metalurjik kalibreler, mühimmat uyumluluğu ve savaş alanında yıkıcı verimlilik sağlar.
owo.doctrine.industry.milestone,Ön-Sanayi Devrimi
owo.doctrine.industry.milestone.desc,Fırınlarınız, madenleriniz ve tersaneleriniz diyarınızı geç ortaçağın mekanik devine dönüştürdü.
mod.ui.popup.title,Old World Order'a Hoş Geldiniz
mod.ui.popup.body,1450 yılında yaklaşık 120 ulusun başındasınız. Tarihsel açıdan gerçekçi ordular komuta edin, ittifaklar kurun ve ortaçağ dünyasının kaderini yeniden yazın. Bu mod; Osmanlı İmparatorluğu, Ming Hanedanı, Portekiz, Fransa, İngiltere, Moskova Prensliği, Timurluların ve çok daha fazlasını içerir.
mod.ui.popup.continue,Devam Et
mod.ui.popup.mod_info,Mod Bilgisi
doctrine.industry.t1.mass_production_system,Hareketli Harfli Matbaa
doctrine.industry.t1.mass_production_system.desc,Kitap üretimini ve idari kayıt tutmayı yaygınlaştıran kurşun alaşımlı döküm harfler ve vidalı baskı presleri.
doctrine.industry.t2.continuous_production,Su ve Rüzgar Değirmeni Mühendisliği
doctrine.industry.t2.continuous_production.desc,Kırsal vilayetlerde mekanik iş gücünü katlayan gelişmiş dişli miller ve gelgit değirmenleri.
doctrine.diplomacy.t1.mobile_envoy_service,Diplomatik Şifreler ve Ulak Hattı
doctrine.diplomacy.t1.mobile_envoy_service.desc,Vilayetler arası güvenli iletişimi sağlayan şifreli diplomatik yazışmalar ve hızlı kraliyet atlı ulak ağları.
doctrine.intelligence.t1.centralized_intelligence_directorate,Kraliyet Başcasusluğu ve Muhbir Ağları
doctrine.intelligence.t1.centralized_intelligence_directorate.desc,Yabancı komplolara dair önceden istihbarat sağlayan saray muhbirleri, tüccar casuslar ve liman gözcüleri.
doctrine.intelligence.t4.defensive_counter_intelligence,Engizisyon ve Hükümdar Gözetimi
doctrine.intelligence.t4.defensive_counter_intelligence.desc,Yabancı fitneleri tespit etmeye odaklanan kraliyet mahkemeleri, şehir muhafızları ve dini denetim.
owo.doctrine.military.directive.chevauchee,Yağma Akını
owo.doctrine.military.directive.chevauchee.desc,Düşman topraklarının derinliğine dalıp her şeyi ateşe verin: savaş kendi masrafını yağma ve dehşetle öder, karşılığında bunu duyan her sarayın iyi niyetini kaybedersiniz.
owo.doctrine.military.directive.fortress_realm,Kaleler Ülkesi
owo.doctrine.military.directive.fortress_realm.desc,Sınırdaki her kasabaya bir garnizon ve bir duvar ustası sözleşmesi. Ordular daha yavaş ilerler ve daha hafif vurur; ama kimse toprağınızı ucuza almaz.
owo.doctrine.military.directive.mercenary_retainers,Paralı Asker Sözleşmeleri
owo.doctrine.military.directive.mercenary_retainers.desc,Condottieri ve serbest bölükleri sürekli maaşa bağlayın. Para sayılır sayılmaz toplanırlar, savaş aralarında da hazineyi kuruturlar.
owo.doctrine.military.hidden.corned_powder,Tanelenmiş Barut
owo.doctrine.military.hidden.corned_powder.desc,Barutu ıslatıp keklemek ve tanelere öğütmek onu sıcak ve düzenli yakar. Eskiden kendi namlusunu çatlatan toplar artık sur perdelerini indiriyor.
owo.doctrine.military.hidden.trace_italienne,İtalyan Tarzı Tabya
owo.doctrine.military.hidden.trace_italienne.desc,Topraktan ve tuğladan alçak açılı tabyalar gülleyi parçalanmak yerine yutar; her yaklaşma hattı bir sonraki tabyanın yan ateşiyle taranır.
owo.doctrine.military.hidden.janissary_corps,Yeniçeri Ocağı
owo.doctrine.military.hidden.janissary_corps.desc,Çocukluktan yetiştirilen, nakit maaş alan ve yalnızca tahta sadık daimî bir kapıkulu ocağı. Hiçbir feodal levyenin erişemeyeceği bir disiplin ve asla maaşını geciktiremeyeceğiniz bir ödeme defteri.
owo.doctrine.military.hidden.longbow_yeomanry,Uzun Yaylı Yeomanlar
owo.doctrine.military.hidden.longbow_yeomanry.desc,Kanun, her toprak sahibini pazar günleri atış talimine mecbur eder. Bir kuşak sonra hiçbir kıta ordusunun satın alamayacağı okçular çıkarırsınız; çünkü onlar satın alınmaz, yetiştirilir.
owo.doctrine.military.hidden.wagenburg,Savaş Arabası Tabyası
owo.doctrine.military.hidden.wagenburg.desc,Savaş arabalarını zincirleyip çember kurun, el kumbaracılarını kalasların arkasına yerleştirin ve şövalyeler kendilerini bu duvara parçalasın. Artık süvariden korkmayan piyade.
owo.doctrine.military.hidden.galleass_squadrons,Mavna Filoları
owo.doctrine.military.hidden.galleass_squadrons.desc,Bir yan ateş bataryası taşıyacak kadar ağır kürekli tekneler. Yuvarlak gemilerin sürüklendiği durgun havada hattı tutar ve hiçbir kadırganın kaldıramayacağı topları taşırlar.
owo.doctrine.economy.directive.bullionist_crown,Külçeci Taç
owo.doctrine.economy.directive.bullionist_crown.desc,Ülkeden çıkan gümüş, kaybedilmiş gümüştür. Gümrükleri sıkın, her ihracatı ruhsata bağlayın ve tüccarlar söylenirken darphanenin dolmasını izleyin.
owo.doctrine.economy.directive.free_trade_charters,Serbest Ticaret Beratları
owo.doctrine.economy.directive.free_trade_charters.desc,Gemisi olan herkese serbest geçiş beratı satın. Resimler düşer, rıhtımlar dolar ve taç çok daha büyük bir ticaretten payını alır.
owo.doctrine.economy.directive.crown_credit,Taç Kredisi
owo.doctrine.economy.directive.crown_credit.desc,Gelecek yılın gümrük gelirini bir bankacı faiziyle rehin verin. Ordular vaktinde yürür, bunun bedeli olan tağşiş ise sessizce gelir.
owo.doctrine.economy.hidden.bills_of_exchange,Poliçeler
owo.doctrine.economy.hidden.bills_of_exchange.desc,Bir tüccar Bruges'te öder, temsilcisi Venedik'te tahsil eder ve hiçbir sikke haydut yolundan geçmez. Kredi artık bir ulağın hızıyla hareket eder.
owo.doctrine.economy.hidden.branch_banking,Şubeli Bankacılık
owo.doctrine.economy.hidden.branch_banking.desc,Tek bir hane, her büyük şehirde bir defter ve tümünden sorumlu bir ortak. Onlarla çalışan taç ucuza borçlanır ve onlardan bir daha tam kurtulamaz.
owo.doctrine.economy.hidden.hanseatic_kontor,Hansa Kontoru
owo.doctrine.economy.hidden.hanseatic_kontor.desc,Kendi hukuku, kendi ambarı ve içinde bulunduğu şehirle kendi kavgası olan surlu bir ticaret kompleksi. Tahıl ve kürk artık Hansa şartlarıyla akar.
owo.doctrine.economy.hidden.silver_strike,Gümüş Damarı
owo.doctrine.economy.hidden.silver_strike.desc,Yeni bir damar açılır ve darphane çift vardiya çalışır. Ülke birdenbire zengindir; içindeki her fiyat da tırmanmaya başlar.
owo.doctrine.economy.hidden.salt_monopoly,Tuz Tekeli
owo.doctrine.economy.hidden.salt_monopoly.desc,Kimse sizin izniniz olmadan kışlık etini tuzlayamaz. Ülkenin en güvenilir geliri ve köylüyü yaba ile yola dökme ihtimali en yüksek olanı.
owo.doctrine.economy.hidden.consignment_fleet,Ortak Sefer Filosu
owo.doctrine.economy.hidden.consignment_fleet.desc,Yükü ortaklaştırın, riski ortaklaştırın ve mevsimin ticaretini tek bayrak altında yollayın. Kaybedilen tek gemi artık bir haneyi batırmıyor.
owo.doctrine.government.directive.rule_by_ordinance,Fermanla Yönetim
owo.doctrine.government.directive.rule_by_ordinance.desc,Kralın mühürlenip ilan edilen sözü cumaya kalmadan kanundur. Kararlar hızla gelir, zümreler de her birini tek tek hatırlar.
owo.doctrine.government.directive.consult_the_estates,Zümrelere Danışma
owo.doctrine.government.directive.consult_the_estates.desc,Üç zümre dinlenmeden hiçbir şey geçmez. Yavaş, kavgacı ve ardından isyan etmesi neredeyse imkânsız.
owo.doctrine.government.directive.crown_patrimony,Taç Hasları
owo.doctrine.government.directive.crown_patrimony.desc,Kraliyet topraklarını doğrudan kralın eline alın ve her kâhyayı teftiş edin. Dağıtacak daha az iltimas, kasaya uzanan çok daha az el.
owo.doctrine.government.hidden.pragmatic_sanction,Veraset Fermanı
owo.doctrine.government.hidden.pragmatic_sanction.desc,Kral daha hayattayken verasetini yazıya dökün. Öldüğü gün üç kaleden daha değerlidir.
owo.doctrine.government.hidden.royal_progress,Kraliyet Seyahati
owo.doctrine.government.hidden.royal_progress.desc,Saray bütün yaz taşrayı dolaşır, masrafı magnatlara yükler ve onlara bir kralın neye benzediğini hatırlatır.
owo.doctrine.government.hidden.cadastral_survey,Tahrir Defteri
owo.doctrine.government.hidden.cadastral_survey.desc,Her tarla, ocak ve değirmen deftere yazılır. Ülkenin ne ettiğini nihayet bilirsiniz; her tahsildar da bilir.
owo.doctrine.government.hidden.venality_of_office,Makam Satışı
owo.doctrine.government.hidden.venality_of_office.desc,Makamları doğrudan satın. Hazine bu öğleden sonra dolar ve mevkiini satın alan adamlar bedelini geri kazanmayı bekler.
owo.doctrine.government.hidden.coronation_oath,Taç Giyme Yemini
owo.doctrine.government.hidden.coronation_oath.desc,Taç giymiş, kutsanmış ve ülkenin huzurunda yemin etmiş. Size isyan artık sadece ihanet değil, kutsala saygısızlıktır.
owo.doctrine.government.hidden.chancery_archive,Divan Arşivi
owo.doctrine.government.hidden.chancery_archive.desc,Defterleri tutun, suretleri tutun ve bir kâtibin bulabileceği yerde tutun. Yazıyla ispatlayabildiğiniz bir iddia, kazanabileceğiniz bir iddiadır.
owo.doctrine.society.directive.pious_realm,Dindar Ülke
owo.doctrine.society.directive.pious_realm.desc,Vakıfları donatın, yortu günlerini gözetin ve yönetmeyi kürsüye bırakın. Yeni soru sormayan, sessiz ve itaatkâr bir ülke.
owo.doctrine.society.directive.patron_of_letters,İlim Hamisi
owo.doctrine.society.directive.patron_of_letters.desc,Yazmaları satın alın, âlimleri tutun, müstensihlere ödeyin. Saray ün kazanır, hazine de bunu fark eder.
owo.doctrine.society.directive.bread_and_charity,Ekmek ve Sadaka
owo.doctrine.society.directive.bread_and_charity.desc,Açlar kendi aralarında örgütlenmeden ambarları açın ve imarethaneleri fonlayın. Çok ucuz bir isyana karşı pahalı bir sigorta.
owo.doctrine.society.hidden.printing_workshop,Matbaa Atölyesi
owo.doctrine.society.hidden.printing_workshop.desc,Bir pres, bir harf kasası ve iki adam, kırk kişilik bir istinsah odasını geçer. Hoşunuza giden fikirler hızlanır; diğerleri de.
owo.doctrine.society.hidden.lazaretto_quarantine,Karantina Adası
owo.doctrine.society.hidden.lazaretto_quarantine.desc,Hiçbir tekne rıhtıma değmeden önce kırk gün açıkta bekler. Tüccarlar gerekmediği her mevsim söylenir, gerektiği tek mevsimde dua eder.
owo.doctrine.society.hidden.vernacular_scripture,Halk Dilinde Kutsal Kitap
owo.doctrine.society.hidden.vernacular_scripture.desc,Kitabı insanların gerçekten konuştuğu dile taşıyın. İman derinleşir, okuryazarlık yayılır ve ulema tartışma üzerindeki tekelini kaybeder.
owo.doctrine.society.hidden.civic_confraternities,Lonca Kardeşlikleri
owo.doctrine.society.hidden.civic_confraternities.desc,Cenaze sandıkları, çeyiz kasaları ve arkasında yürünecek bir lonca sancağı. Şehir, suçlayacak birini aramadan önce kendi insanına bakar.
owo.doctrine.society.hidden.studia_humanitatis,Beşerî İlimler
owo.doctrine.society.hidden.studia_humanitatis.desc,Gramer, belagat, tarih ve ahlak felsefesi, yeniden bulunan kadimlerden okutulur. Daha iyi kâtipler yetiştirir; çok daha tehlikeli olanlarını da.
owo.doctrine.society.hidden.apprentice_statutes,Çıraklık Nizamnamesi
owo.doctrine.society.hidden.apprentice_statutes.desc,Yedi yıl bağlı, sonra bir şaheser ve ustalık. Hüner tam olarak korunur; bu da onun çok yavaş değiştiği anlamına gelir.
owo.doctrine.diplomacy.directive.marriage_diplomacy,Evlilik Diplomasisi
owo.doctrine.diplomacy.directive.marriage_diplomacy.desc,Bırakın başkaları savaşsın; siz evlendirin. Yerleştirilen her kız, tartışmayı bırakan bir sınır ve torununuzun tahsil edebileceği bir iddiadır.
owo.doctrine.diplomacy.directive.tribute_and_threat,Haraç ve Tehdit
owo.doctrine.diplomacy.directive.tribute_and_threat.desc,Demirleme yerine donanmayla girin ve şartları önceden yazılmış olarak sunun. İmzalarlar ve unutmazlar.
owo.doctrine.diplomacy.directive.broker_of_peace,Barışın Aracısı
owo.doctrine.diplomacy.directive.broker_of_peace.desc,Görüşmelere ev sahipliği yapın, kalemi elinizde tutun ve her iki taraf da anlaşmayı size borçlu kalsın. İtibar, eyaletlerden ucuzdur.
owo.doctrine.diplomacy.hidden.golden_bull_charter,Altın Mühürlü Ferman
owo.doctrine.diplomacy.hidden.golden_bull_charter.desc,Altın mühür altında verilmiş, geri alınamaz ve son derece alenî bir imtiyaz. Böyle verilen ayrıcalıkları geri almak çok zordur; maksat da budur.
owo.doctrine.diplomacy.hidden.hostage_exchange,Rehine Değişimi
owo.doctrine.diplomacy.hidden.hostage_exchange.desc,Onların vârisi sizin sarayınızda, sizinki onlarınkinde büyür. Nabzı atan bir antlaşma ve parşömenden çok daha zor bozulur.
owo.doctrine.diplomacy.hidden.papal_dispensation,Papalık Muafiyeti
owo.doctrine.diplomacy.hidden.papal_dispensation.desc,Engel kaldırılır, evlilik geçerli olur ve iddia da onunla birlikte. Pahalı, yavaş ve bir kez verildi mi itiraz edilemez.
owo.doctrine.diplomacy.hidden.capitulations,Kapitülasyonlar
owo.doctrine.diplomacy.hidden.capitulations.desc,Yabancı tüccarlar kendi mahallesini, kendi konsolosunu ve kendi hukukunu alır. Ticaret sel gibi akar; yerleşik bir yabancı çıkar da öyle.
owo.doctrine.diplomacy.hidden.italic_league,İtalyan Birliği
owo.doctrine.diplomacy.hidden.italic_league.desc,Haritayı dondurmak için daimî bir ahit: ilk kim kımıldarsa, herkes ona karşı kımıldar. Karşılıklı şüpheyle korunan barış.
owo.doctrine.diplomacy.hidden.heralds_truce,Münadi Mütarekesi
owo.doctrine.diplomacy.hidden.heralds_truce.desc,Fidye cetvelleri, yol emannameleri ve iki tarafın münadilerinin kendi prenslerine dayatacağı bir mütareke. Kuralı olan savaş, bitirebileceğiniz savaştır.
owo.doctrine.intelligence.directive.black_chamber,Kara Oda
owo.doctrine.intelligence.directive.black_chamber.desc,Her diplomatik çanta açılır, istinsah edilir, yeniden mühürlenir ve hiç dokunulmamış gibi yoluna devam eder. Her şeyi öğrenir, dışarıda hiçbir şey riske atmazsınız.
owo.doctrine.intelligence.directive.agents_abroad,Yurtdışındaki Ajanlar
owo.doctrine.intelligence.directive.agents_abroad.desc,Kendi adamlarınızı onların divanlarına yerleştirin ve iyi ödeyin. Kendi haneniz üzerinde zayıf bir nöbet pahasına elde edilen erişim.
owo.doctrine.intelligence.directive.court_whispers,Saray Fısıltıları
